step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_IN,500.0,C001,0.0,500.0,M001,1000.0,1500.0,0,0
2,PAYMENT,100.0,C001,500.0,400.0,M001,1500.0,1600.0,0,0
3,TRANSFER,200.0,C001,400.0,200.0,C002,0.0,200.0,0,0
4,CASH_OUT,50.0,C002,200.0,150.0,M002,300.0,350.0,0,0
5,DEBIT,25.0,C002,150.0,125.0,M003,400.0,425.0,0,0
6,PAYMENT,75.0,C003,1000.0,925.0,M001,1600.0,1675.0,0,0
7,TRANSFER,900.0,C003,925.0,25.0,C004,100.0,1000.0,1,0
8,CASH_OUT,20.0,C004,1000.0,980.0,M002,350.0,370.0,0,0
9,CASH_IN,300.0,C005,0.0,300.0,M004,50.0,350.0,0,0
10,PAYMENT,250.0,C005,300.0,50.0,M004,350.0,600.0,1,1
11,PAYMENT,110.0,C011,210.0,100.0,M011,500.0,610.0,0,0
12,TRANSFER,120.0,C012,220.0,100.0,C012D,500.0,620.0,0,0
13,CASH_OUT,130.0,C013,230.0,100.0,M013,500.0,630.0,0,0
14,DEBIT,140.0,C014,240.0,100.0,M014,500.0,640.0,0,0
15,CASH_IN,150.0,C015,0.0,150.0,M015,500.0,650.0,0,0
16,PAYMENT,160.0,C016,260.0,100.0,M016,500.0,660.0,0,0
17,TRANSFER,170.0,C017,270.0,100.0,C017D,500.0,670.0,0,0
18,CASH_OUT,180.0,C018,280.0,100.0,M018,500.0,680.0,0,0
19,DEBIT,190.0,C019,290.0,100.0,M019,500.0,690.0,0,0
20,TRANSFER,200.0,C020,300.0,100.0,C020D,500.0,700.0,1,0
21,CASH_IN,210.0,C021,0.0,210.0,M021,500.0,710.0,0,0
22,PAYMENT,220.0,C022,320.0,100.0,M022,500.0,720.0,0,0
23,TRANSFER,230.0,C023,330.0,100.0,C023D,500.0,730.0,0,0
24,CASH_OUT,240.0,C024,340.0,100.0,M024,500.0,740.0,0,0
25,DEBIT,250.0,C025,350.0,100.0,M025,500.0,750.0,0,0
26,PAYMENT,260.0,C026,360.0,100.0,M026,500.0,760.0,0,0
27,TRANSFER,270.0,C027,370.0,100.0,C027D,500.0,770.0,0,0
28,CASH_OUT,280.0,C028,380.0,100.0,M028,500.0,780.0,0,0
29,DEBIT,290.0,C029,390.0,100.0,M029,500.0,790.0,0,0
30,TRANSFER,300.0,C030,400.0,100.0,C030D,500.0,800.0,1,0
31,CASH_IN,310.0,C031,0.0,310.0,M031,500.0,810.0,0,0
32,PAYMENT,320.0,C032,420.0,100.0,M032,500.0,820.0,0,0
33,TRANSFER,330.0,C033,430.0,100.0,C033D,500.0,830.0,0,0
34,CASH_OUT,340.0,C034,440.0,100.0,M034,500.0,840.0,0,0
35,DEBIT,350.0,C035,450.0,100.0,M035,500.0,850.0,0,0
36,PAYMENT,360.0,C036,460.0,100.0,M036,500.0,860.0,0,0
37,TRANSFER,370.0,C037,470.0,100.0,C037D,500.0,870.0,0,0
38,CASH_OUT,380.0,C038,480.0,100.0,M038,500.0,880.0,0,0
39,DEBIT,390.0,C039,490.0,100.0,M039,500.0,890.0,0,0
40,TRANSFER,400.0,C040,500.0,100.0,C040D,500.0,900.0,1,0
41,CASH_IN,410.0,C041,0.0,410.0,M041,500.0,910.0,0,0
42,PAYMENT,420.0,C042,520.0,100.0,M042,500.0,920.0,0,0
43,TRANSFER,430.0,C043,530.0,100.0,C043D,500.0,930.0,0,0
44,CASH_OUT,440.0,C044,540.0,100.0,M044,500.0,940.0,0,0
45,DEBIT,450.0,C045,550.0,100.0,M045,500.0,950.0,0,0
46,PAYMENT,460.0,C046,560.0,100.0,M046,500.0,960.0,0,0
47,TRANSFER,470.0,C047,570.0,100.0,C047D,500.0,970.0,0,0
48,CASH_OUT,480.0,C048,580.0,100.0,M048,500.0,980.0,0,0
49,DEBIT,490.0,C049,590.0,100.0,M049,500.0,990.0,0,0
50,TRANSFER,500.0,C050,600.0,100.0,C050D,500.0,1000.0,1,1
51,CASH_IN,510.0,C051,0.0,510.0,M051,500.0,1010.0,0,0
52,PAYMENT,520.0,C052,620.0,100.0,M052,500.0,1020.0,0,0
53,TRANSFER,530.0,C053,630.0,100.0,C053D,500.0,1030.0,0,0
54,CASH_OUT,540.0,C054,640.0,100.0,M054,500.0,1040.0,0,0
55,DEBIT,550.0,C055,650.0,100.0,M055,500.0,1050.0,0,0
56,PAYMENT,560.0,C056,660.0,100.0,M056,500.0,1060.0,0,0
57,TRANSFER,570.0,C057,670.0,100.0,C057D,500.0,1070.0,0,0
